Run #28	Run #28	Run #28	Run #28
Date and Time	Time (s)	Acceleration (m/s²)	Acceleration (m/s²)
10/07/2025 03:09:33 pm	0.448	0.00	0.10
10/07/2025 03:09:33 pm	0.452	0.05	0.14
10/07/2025 03:09:33 pm	0.456	0.10	0.14
10/07/2025 03:09:33 pm	0.460	0.05	0.14
10/07/2025 03:09:33 pm	0.464	0.05	0.10
10/07/2025 03:09:33 pm	0.468	0.10	0.14
10/07/2025 03:09:33 pm	0.472	-0.05	0.19
10/07/2025 03:09:33 pm	0.476	0.10	0.19
10/07/2025 03:09:33 pm	0.480	0.10	0.19
10/07/2025 03:09:33 pm	0.484	0.00	0.19
10/07/2025 03:09:33 pm	0.488	0.19	0.10
10/07/2025 03:09:33 pm	0.492	0.10	0.14
10/07/2025 03:09:33 pm	0.496	0.05	0.19
10/07/2025 03:09:33 pm	0.500	0.05	0.00
10/07/2025 03:09:33 pm	0.504	0.05	0.14
10/07/2025 03:09:33 pm	0.508	0.00	0.05
10/07/2025 03:09:33 pm	0.512	0.14	0.10
10/07/2025 03:09:33 pm	0.516	0.14	0.00
10/07/2025 03:09:33 pm	0.520	0.14	0.10
10/07/2025 03:09:33 pm	0.524	0.05	0.14
10/07/2025 03:09:33 pm	0.528	-0.05	0.14
10/07/2025 03:09:33 pm	0.532	0.05	0.14
10/07/2025 03:09:33 pm	0.536	0.10	0.10
10/07/2025 03:09:33 pm	0.540	0.14	0.19
10/07/2025 03:09:33 pm	0.544	0.10	0.19
10/07/2025 03:09:33 pm	0.548	0.10	0.05
10/07/2025 03:09:33 pm	0.552	0.00	0.05
10/07/2025 03:09:33 pm	0.556	0.10	0.05
10/07/2025 03:09:33 pm	0.560	0.14	0.10
10/07/2025 03:09:33 pm	0.564	0.14	0.14
10/07/2025 03:09:33 pm	0.568	0.10	0.10
10/07/2025 03:09:33 pm	0.572	0.10	0.19
10/07/2025 03:09:33 pm	0.576	0.10	0.10
10/07/2025 03:09:33 pm	0.580	0.10	0.05
10/07/2025 03:09:33 pm	0.584	0.00	0.14
10/07/2025 03:09:33 pm	0.588	0.10	0.10
10/07/2025 03:09:33 pm	0.592	0.10	0.05
10/07/2025 03:09:33 pm	0.596	0.10	0.14
10/07/2025 03:09:33 pm	0.600	0.19	0.14
10/07/2025 03:09:33 pm	0.604	0.05	0.14
10/07/2025 03:09:33 pm	0.608	0.00	0.19
10/07/2025 03:09:33 pm	0.612	0.10	0.14
10/07/2025 03:09:33 pm	0.616	0.10	0.14
10/07/2025 03:09:33 pm	0.620	0.10	0.19
10/07/2025 03:09:33 pm	0.624	0.05	0.19
10/07/2025 03:09:33 pm	0.628	0.10	0.14
10/07/2025 03:09:33 pm	0.632	0.00	0.05
10/07/2025 03:09:33 pm	0.636	0.10	0.05
