massa_B
frame	x	t
236.0	8.7153214695511	7.866666666666667
237.0	0.48449307464034064	7.9
238.0	0.5228510524177636	7.933333333333334
239.0	-7.961601568936658	7.966666666666667
240.0	-8.052849215455126	8.0
241.0	-16.500374475011085	8.033333333333333
242.0	-16.459127992928416	8.066666666666666
243.0	-25.045244613242403	8.1
244.0	-27.261248850198626	8.133333333333335
245.0	-33.49762657453584	8.166666666666668
246.0	-35.67619011662555	8.200000000000001
247.0	-42.005944215425416	8.233333333333334
248.0	-44.200582175317095	8.266666666666667
249.0	-50.49224179515659	8.3
250.0	-54.69417648424587	8.333333333333334
251.0	-58.97847991758886	8.366666666666667
252.0	-63.27480152710177	8.4
253.0	-67.52339242804396	8.433333333333334
254.0	-71.67491920428347	8.466666666666667
255.0	-73.66540224292817	8.5
256.0	-79.64027147299862	8.533333333333333
257.0	-81.74644362663525	8.566666666666666
258.0	-87.73776961033582	8.600000000000001
259.0	-89.70361811195221	8.633333333333335
260.0	-95.64365114709017	8.666666666666668
261.0	-97.63544003976472	8.700000000000001
262.0	-103.70510134756296	8.733333333333334
263.0	-105.69132280417125	8.766666666666667
264.0	-111.73670154398246	8.8
265.0	-113.70173633249965	8.833333333333334
266.0	-119.94654365212295	8.866666666666667
267.0	-122.09902170920714	8.9
268.0	-128.28086830958296	8.933333333333334
269.0	-130.36318556179708	8.966666666666667
270.0	-136.58270554559158	9.0
271.0	-138.61736642458595	9.033333333333333
272.0	-144.6724355339286	9.066666666666666
273.0	-146.709895023851	9.100000000000001
274.0	-152.93468276790964	9.133333333333335
275.0	-155.16766237623187	9.166666666666668
276.0	-161.3326562074044	9.200000000000001
277.0	-163.46829966274777	9.233333333333334
278.0	-169.59608664206144	9.266666666666667
279.0	-173.720589129254	9.3
280.0	-173.67138871070483	9.333333333333334
281.0	-181.7704804162679	9.366666666666667
282.0	-185.7995168839616	9.4
283.0	-189.83865092169685	9.433333333333334
284.0	-193.8630919839054	9.466666666666667
285.0	-197.87863962883557	9.5
286.0	-199.8855153524769	9.533333333333333
287.0	-205.83167907934285	9.566666666666666
288.0	-209.87750084759	9.600000000000001
289.0	-209.81021455950759	9.633333333333335
290.0	-217.84310231532857	9.666666666666668
291.0	-217.7955263423887	9.700000000000001
292.0	-225.83377957354173	9.733333333333334
293.0	-227.80244757516073	9.766666666666667
294.0	-233.84711536043585	9.8
295.0	-235.82027306870316	9.833333333333334
296.0	-241.85416667973948	9.866666666666667
297.0	-245.8540010204631	9.9
298.0	-245.8084767159164	9.933333333333334
299.0	-253.98038655177402	9.966666666666667
300.0	-254.14530013826936	10.0
301.0	-262.3814199743324	10.033333333333333
302.0	-262.43377417261763	10.066666666666666
303.0	-270.5597392826428	10.100000000000001
304.0	-272.5875309941729	10.133333333333335
305.0	-278.6350418758134	10.166666666666668
306.0	-280.64760606311813	10.200000000000001
307.0	-286.6161372763063	10.233333333333334
308.0	-288.5689850274438	10.266666666666667
309.0	-294.5014812063624	10.3
310.0	-298.3189806322058	10.333333333333334
311.0	-298.387820097946	10.366666666666667
312.0	-306.0712401994283	10.4
313.0	-309.9147906948227	10.433333333333334
314.0	-313.624870057424	10.466666666666667
315.0	-317.392504320846	10.5
316.0	-321.2174942327466	10.533333333333333
317.0	-325.0642351951958	10.566666666666668
318.0	-326.96585259189305	10.600000000000001
319.0	-332.62327196759736	10.633333333333335
320.0	-334.4785260006099	10.666666666666668
321.0	-340.18719712279756	10.700000000000001
322.0	-342.10907650362014	10.733333333333334
323.0	-347.93493854181816	10.766666666666667
324.0	-351.5872070739987	10.8
325.0	-351.59883835665187	10.833333333333334
326.0	-359.13411638169305	10.866666666666667
327.0	-359.2615870958839	10.9
328.0	-366.8743948350857	10.933333333333334
329.0	-368.6761358253418	10.966666666666667
330.0	-374.3012563068396	11.0
331.0	-378.05427812709	11.033333333333333
332.0	-377.9512129517742	11.066666666666668
333.0	-385.177862142629	11.100000000000001
334.0	-385.3002497588403	11.133333333333335
335.0	-392.50428520858054	11.166666666666668
336.0	-392.53201014561864	11.200000000000001
337.0	-399.5572114485027	11.233333333333334
338.0	-401.33750245078056	11.266666666666667
339.0	-406.5457583305558	11.3
340.0	-408.2450155149601	11.333333333333334
341.0	-413.3118739705699	11.366666666666667
342.0	-416.6502554611968	11.4
343.0	-419.82121524961576	11.433333333333334
344.0	-422.8729213309465	11.466666666666667
345.0	-425.9156586877175	11.5
346.0	-428.8981036433837	11.533333333333333
347.0	-428.85536248635776	11.566666666666668
348.0	-434.9702668969717	11.600000000000001
349.0	-436.4230853414016	11.633333333333335
350.0	-440.89842175922536	11.666666666666668
351.0	-442.32733719276746	11.700000000000001
352.0	-446.76450808177924	11.733333333333334
353.0	-448.1024956186493	11.766666666666667
354.0	-452.3062481164842	11.8
355.0	-455.1723112731479	11.833333333333334
356.0	-455.07867822504215	11.866666666666667
357.0	-460.7215547239912	11.9
358.0	-460.73549629819274	11.933333333333334
359.0	-466.46375015556134	11.966666666666667
360.0	-466.52913723497795	12.0
361.0	-472.15311929840504	12.033333333333335
362.0	-472.0695498425954	12.066666666666668
363.0	-477.6289551681614	12.100000000000001
364.0	-479.0329887649756	12.133333333333335
